book_id,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity,tfidf,label
1,0.2288668784650844,0.21553603687784215,0.25154176789385163,0.29053759421914904,0.24892543449822463,0.2789509748956581,0.15018999563944435,0.4219772005232667,-0.11873170123964367,0.03982058448275334,"A Game of Thrones, by RR Martin–F"
2,0.2515741604477612,0.22434701492537312,0.2620685634328358,0.30369636194029853,0.26049440298507465,0.28422341417910446,0.14762126865671643,0.41499533582089554,-0.12272621268656717,0.034513928490607484,"A Clash of Kings, by RR Martin–F"
3,0.2671118530884808,0.22190136714343725,0.26548752425213196,0.3170148445607544,0.2653521635157695,0.30325316969724314,0.15778549835311104,0.39773496367820244,-0.14063980508053964,0.03731797657107827,"A Storm of Swords, by RR Martin–F"
4,0.2634841091916128,0.30212317024924173,0.1565343531583806,0.3337729130950811,0.36449953844125016,0.3088487406039826,0.21165765528155084,0.35711459844388765,-0.01964921535012528,0.025313816597091435,"The Fellowship of the Ring, by JRR Tolkien–F"
16,0.2321911632100992,0.2768259693417493,0.2164111812443643,0.26194770063119927,0.39720468890892696,0.306131650135257,0.1564472497745717,0.3854824165915239,-0.034265103697024346,0.05676077832353882,"Peter Pan, by James M. Barrie–C"
730,0.2279456747828215,0.30123577633671844,0.1967453811329989,0.2870427015783678,0.33329254863575186,0.27811085280802644,0.20004894163709777,0.39092132631836535,0.0741465802031078,0.03896009641424634,"Oliver Twist, by Charles Dickens–C"
768,0.29453441295546556,0.2702429149797571,0.229251012145749,0.36116734143049933,0.32270580296896084,0.3685897435897436,0.1847165991902834,0.307523616734143,-0.10695006747638326,0.027926668788354474,"Wuthering Heights, by Emily Brontë–G"
1260,0.19807427785419532,0.317285648784961,0.16070609812012837,0.2839293901879872,0.37551581843191195,0.29413113250802386,0.1953232462173315,0.41815680880330125,0.09766162310866575,0.03374357213115457,"Jane Eyre, by Charlotte Brontë–G"
1400,0.22530235086288897,0.3011278706345971,0.193912216333741,0.28387009104497896,0.3473298002445985,0.29229514879739094,0.19336866422068216,0.3976083707025411,0.05571409158853105,0.030915073796451965,"Great Expectations, by Charles Dickens–G"
1727,0.2703551108495193,0.3415734745928978,0.1618599175985874,0.3301942319011183,0.3694329998038062,0.2917402393564842,0.19423190111830488,0.3870904453600157,-0.010005885815185403,0.02799442354345129,"The Odyssey, by Homer–H"
6130,0.380709426627794,0.28077421444768386,0.17541302235179787,0.45351473922902497,0.28077421444768386,0.2854713313896987,0.12001943634596696,0.29689018464528666,-0.18488824101068999,0.03357433102407847,"The Iliad, by Homer–H"
26654,0.2306654676258993,0.27652877697841727,0.2158273381294964,0.2612410071942446,0.39613309352517984,0.30530575539568344,0.15512589928057555,0.3857913669064748,-0.03012589928057554,0.05616485063260896,"Peter and Wendy, by James Matthew Barrie–C"
